UF,Cod.Item,Produto,CFOP,NCM,ID utilização,Utilização,Valor,ICMS
AL,10009,GEL PARA PERNAS E PES PINK 120 GR,5405,3304.99.90,10,Vda/Dev Vda Mer,6760.38,0.0
AL,10011,CERA NUTRITIVA PINK 7 GR,5405,3304.30.00,10,Vda/Dev Vda Mer,13592.77,0.0
AL,10012,ESFOLIANTE PEDRA POMES PINK 80 GR,5405,3304.30.00,10,Vda/Dev Vda Mer,3848.7,0.0
AL,10014,MANTEIGA EMOLIENTE PINK 60 GR,5405,3304.30.00,10,Vda/Dev Vda Mer,10351.49,0.0
AL,10019,SACHET ESCALDA PES PINK 5X15 GR,5405,3304.30.00,10,Vda/Dev Vda Mer,3750.88,0.0
AL,10023,TALCO CREMOSO ANTISSEPTICO PINK 100 GR,5405,3304.91.00,10,Vda/Dev Vda Mer,7930.65,0.0
AL,10024,SHAMPOO AZUL PET 5L,5102,3305.10.00,10,Vda/Dev Vda Mer,6063.73,1515.96
AL,10025,SHAMPOO NEUTRO PET 5L,5102,3305.10.00,10,Vda/Dev Vda Mer,5655.82,1414.01
AL,10026,COND NEUTRO PET 5L,5102,3305.90.00,10,Vda/Dev Vda Mer,617.4,154.36
AL,10029,SAB PET GLICERINA 90 GR,5102,3307.20.90,10,Vda/Dev Vda Mer,213.75,53.44
AL,10031,SAB PET COCO 100GR,5102,3307.20.90,10,Vda/Dev Vda Mer,278.1,69.54
AL,10037,PO OTOLOGICO 100 GR,5102,3005.90.90,10,Vda/Dev Vda Mer,137.0,26.72
AL,10042,SAB VINTAGE SALOME 120 GR,5405,3401.11.90,10,Vda/Dev Vda Mer,4592.48,0.0
AL,10043,SAB VINTAGE BENJOIM 120 GR,5405,3401.11.90,10,Vda/Dev Vda Mer,14474.77,0.0
AL,10045,SAB VINTAGE UM SONHO 120 GR,5405,3401.11.90,10,Vda/Dev Vda Mer,11742.71,0.0
AL,10063,SAB BARBEARIA 80 GR,5405,3401.11.90,10,Vda/Dev Vda Mer,1251.73,0.0
AL,10065,ESPUMA DE BARBEAR 160 ML,5405,3307.10.00,10,Vda/Dev Vda Mer,4947.4,0.0
